country_orig,coordinates_origin_latitude,coordinates_origin_longitude,country_dest,coordinates_destination_latitude,coordinates_destination_longitude,region_orig,region_orig_id,region_dest,region_dest_id,country_orig_id,country_dest_id,regionflow_1990,regionflow_1995,regionflow_2000,regionflow_2005,countryflow_1990,countryflow_1995,countryflow_2000,countryflow_2005
Canada,56.094098,-109.658364,United States,38.234715,-101.220865,North America,1,North America,1,CAN,USA,57617,191071,84668,96102,1509,190436,238,28
United States,38.234715,-101.220865,Canada,56.094098,-109.658364,North America,1,North America,1,USA,CAN,57617,191071,84668,96102,56108,635,84430,96074
United States,38.234715,-101.220865,United States,38.234715,-101.220865,North America,1,North America,1,USA,USA,57617,191071,84668,96102,0,0,0,0
France,47.02221,2.885581,Canada,56.094098,-109.658364,Europe,3,North America,1,FRA,CAN,196660,875968,76402,61217,7794,18316,3451,7383
France,47.02221,2.885581,United States,38.234715,-101.220865,Europe,3,North America,1,FRA,USA,196660,875968,76402,61217,2883,62050,82,547
United Kingdom,52.022751,-1.377114,Canada,56.094098,-109.658364,Europe,3,North America,1,GBR,CAN,196660,875968,76402,61217,677,16091,42589,45380
United Kingdom,52.022751,-1.377114,United States,38.234715,-101.220865,Europe,3,North America,1,GBR,USA,196660,875968,76402,61217,1151,162294,4092,2196
China,35.008411,99.741049,Canada,56.094098,-109.658364,East Asia,7,North America,1,CHN,CAN,804751,966843,1526195,1057904,124717,98871,223403,163196
China,35.008411,99.741049,United States,38.234715,-101.220865,East Asia,7,North America,1,CHN,USA,804751,966843,1526195,1057904,222772,276024,796005,615536
